Animal Type,Sex,Intake Condition,Intake Type,Intake_Month,Season,Age_Months,Color_Simple,is_adopted
CAT,Male,ILL MODERATETE,STRAY,4,Spring,0.6,BRN TABBY,0
CAT,Unknown,ILL SEVERE,STRAY,4,Spring,0.2,BLACK,0
CAT,Male,INJURED  SEVERE,STRAY,5,Spring,12.2,BRN TABBY,0
CAT,Spayed,NORMAL,OWNER SURRENDER,7,Summer,26.6,SEAL PT,1
CAT,Male,INJURED  SEVERE,STRAY,4,Spring,121.7,SEAL PT,0
CAT,Neutered,FRACTIOUS,STRAY,1,Winter,36.5,WHITE,0
DOG,Spayed,NORMAL,OWNER SURRENDER,3,Spring,109.6,TAN,0
DOG,Male,NORMAL,STRAY,10,Fall,24.4,WHITE,0
DOG,Female,BEHAVIOR  MILD,OWNER SURRENDER,11,Fall,91.3,BROWN,0
DOG,Female,NORMAL,STRAY,8,Summer,3.1,BLACK,0
DOG,Spayed,NORMAL,STRAY,9,Fall,107.6,CREAM,0
CAT,Male,ILL MODERATETE,STRAY,11,Fall,1.5,BRN TABBY,0
DOG,Male,NORMAL,STRAY,12,Winter,7.1,GRAY,0
DOG,Neutered,NORMAL,OWNER SURRENDER,7,Summer,42.6,GRAY,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.7,BRN TABBY,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.7,BRN TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.7,GRAY TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,0.7,GRAY TABBY,0
CAT,Male,NORMAL,STRAY,8,Summer,3.1,WHITE,0
DOG,Spayed,NORMAL,OWNER SURRENDER,4,Spring,10.2,BROWN,0
DOG,Male,NORMAL,STRAY,11,Fall,36.5,BLUE,0
DOG,Neutered,I/I REPORT,WELFARE SEIZED,1,Winter,9.1,BLUE,1
CAT,Male,NORMAL,STRAY,10,Fall,8.1,BRN TABBY,0
DOG,Neutered,NORMAL,STRAY,7,Summer,12.0,BLACK,0
DOG,Male,NORMAL,STRAY,12,Winter,24.3,BLUE,0
CAT,Neutered,ILL MILD,STRAY,5,Spring,1.8,WHITE,1
CAT,Spayed,ILL MILD,STRAY,5,Spring,1.8,GRAY,1
CAT,Neutered,ILL MILD,STRAY,5,Spring,1.8,GRAY,1
CAT,Unknown,ILL MILD,STRAY,5,Spring,2.0,BLACK,0
CAT,Male,FRACTIOUS,STRAY,9,Fall,24.3,GRAY,0
CAT,Spayed,NORMAL,OWNER SURRENDER,5,Spring,60.9,TORTIE,0
DOG,Spayed,NORMAL,WELFARE SEIZED,3,Spring,72.9,WHITE,0
CAT,Neutered,NORMAL,OWNER SURRENDER,3,Spring,60.9,GRAY,1
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,9,Fall,1.8,BRN TABBY,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,9,Fall,1.8,GRAY TABBY,1
CAT,Neutered,NORMAL,OWNER SURRENDER,2,Winter,12.2,BLACK,1
CAT,Female,UNDER AGE/WEIGHT,OWNER SURRENDER,2,Winter,0.6,WHITE,0
