Animal Type,Sex,Intake Condition,Intake Type,Intake_Month,Season,Age_Months,Color_Simple,is_adopted
DOG,Female,INJURED  MILD,STRAY,2,Winter,97.4,BLACK,0
DOG,Spayed,NORMAL,STRAY,1,Winter,12.1,BLACK,0
DOG,Male,NORMAL,STRAY,10,Fall,12.2,BLACK,0
CAT,Spayed,NORMAL,STRAY,11,Fall,2.0,TORTIE DIL,1
CAT,Spayed,NORMAL,STRAY,11,Fall,2.0,ORANGE,1
DOG,Neutered,NORMAL,STRAY,5,Spring,36.5,WHITE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,11,Fall,1.0,BLACK,0
DOG,Female,NORMAL,STRAY,4,Spring,36.5,Other,0
CAT,Spayed,ILL MODERATETE,OWNER SURRENDER,10,Fall,48.7,WHITE,1
CAT,Female,NORMAL,STRAY,5,Spring,2.4,Other,0
CAT,Spayed,NORMAL,STRAY,5,Spring,11.2,BLACK,0
DOG,Spayed,NORMAL,STRAY,6,Summer,36.5,TAN,1
CAT,Male,ILL SEVERE,STRAY,9,Fall,3.1,BLACK,0
DOG,Spayed,NORMAL,STRAY,3,Spring,6.3,BROWN,0
CAT,Spayed,ILL MODERATETE,STRAY,3,Spring,24.4,BRN TABBY,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,0.2,TORTIE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,10,Fall,1.0,Other,0
DOG,Male,NORMAL,STRAY,5,Spring,12.2,TAN,0
CAT,Female,I/I REPORT,STRAY,5,Spring,0.7,GRAY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,0.8,Other,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.8,GRAY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,0.8,BRN TABBY,0
CAT,Unknown,NORMAL,STRAY,9,Fall,0.0,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,0.3,TORTIE,0
CAT,Unknown,INJURED  SEVERE,STRAY,6,Summer,2.0,BRN TABBY,0
DOG,Male,INJURED  MILD,STRAY,4,Spring,48.7,BLACK,0
DOG,Male,NORMAL,STRAY,3,Spring,24.4,GRAY,0
DOG,Female,I/I REPORT,OWNER SURRENDER,2,Winter,109.5,GRAY,0
DOG,Neutered,INJURED  MILD,STRAY,7,Summer,186.5,RED,0
DOG,Male,NORMAL,OWNER SURRENDER,11,Fall,42.7,BLACK,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,3,Spring,0.2,BLACK,0
CAT,Male,ILL SEVERE,STRAY,11,Fall,97.4,Other,0
DOG,Female,NORMAL,STRAY,6,Summer,85.2,BROWN,0
DOG,Spayed,NORMAL,STRAY,9,Fall,3.1,BLACK,1
CAT,Male,INJURED  SEVERE,STRAY,7,Summer,60.9,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,1.1,ORANGE,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,5,Spring,0.7,WHITE,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,5,Spring,1.1,CALICO,1
CAT,Spayed,NORMAL,STRAY,10,Fall,2.0,GRAY,1
DOG,Neutered,ILL MILD,STRAY,6,Summer,9.1,BLACK,1
CAT,Unknown,FRACTIOUS,STRAY,5,Spring,12.2,GRAY,0
CAT,Spayed,FRACTIOUS,STRAY,5,Spring,12.2,CALICO,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,1.0,BLACK,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,1.0,BLACK,0
CAT,Neutered,FERAL,STRAY,5,Spring,24.4,GRAY,0
CAT,Neutered,FERAL,STRAY,5,Spring,36.5,BLACK,0
CAT,Male,ILL SEVERE,STRAY,10,Fall,73.0,ORG TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,10,Fall,0.7,BRN TABBY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,6,Summer,0.1,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,0.7,BLACK,0
DOG,Neutered,NORMAL,CONFISCATE,2,Winter,60.9,WHITE,0
CAT,Female,NORMAL,STRAY,9,Fall,2.1,BRN TABBY,0
DOG,Female,NORMAL,STRAY,10,Fall,73.0,WHITE,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,10,Fall,0.7,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,2,Winter,1.0,GRAY,0
CAT,Female,BEHAVIOR  MODERATE,OWNER SURRENDER,2,Winter,133.9,BLACK,1
DOG,Male,NORMAL,STRAY,12,Winter,48.7,BLACK,0
CAT,Spayed,INJURED  MODERATE,STRAY,7,Summer,4.1,BLACK,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.7,BLACK,0
DOG,Female,INJURED  MILD,STRAY,4,Spring,143.2,TRICOLOR,0
DOG,Male,NORMAL,STRAY,1,Winter,36.4,WHITE,0
DOG,Female,UNDER AGE/WEIGHT,STRAY,11,Fall,1.4,GRAY,0
DOG,Female,NORMAL,WELFARE SEIZED,8,Summer,11.1,BLACK,0
DOG,Spayed,NORMAL,WELFARE SEIZED,8,Summer,130.5,RED,0
DOG,Neutered,NORMAL,OWNER SURRENDER,4,Spring,11.5,BROWN,0
DOG,Spayed,NORMAL,STRAY,7,Summer,12.2,GRAY,1
DOG,Neutered,NORMAL,STRAY,12,Winter,24.3,BLACK,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,10,Fall,2.0,CALICO,1
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,10,Fall,2.0,ORANGE,1
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,10,Fall,2.0,BLACK,1
DOG,Neutered,NORMAL,STRAY,1,Winter,12.2,BROWN,1
DOG,Neutered,NORMAL,STRAY,10,Fall,29.6,BLACK,0
CAT,Male,ILL SEVERE,STRAY,6,Summer,24.3,BLACK,0
CAT,Neutered,NORMAL,STRAY,9,Fall,4.1,GRAY TABBY,1
DOG,Spayed,AGED,STRAY,12,Winter,12.2,TAN,1
CAT,Male,ILL SEVERE,STRAY,8,Summer,0.5,BLACK,0
DOG,Spayed,NORMAL,STRAY,3,Spring,97.4,TAN,0
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,ORG TABBY,1
DOG,Male,INJURED  SEVERE,STRAY,3,Spring,51.1,WHITE,0
DOG,Neutered,INJURED  MODERATE,STRAY,12,Winter,24.4,BLACK,0
CAT,Spayed,NORMAL,OWNER SURRENDER,7,Summer,36.5,BLACK,0
DOG,Spayed,NORMAL,STRAY,3,Spring,24.3,WHITE,1
DOG,Male,NORMAL,STRAY,4,Spring,36.5,BROWN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,1.5,BRN TABBY,0
DOG,Male,NORMAL,STRAY,5,Spring,24.4,TRICOLOR,0
DOG,Neutered,INJURED  MODERATE,STRAY,10,Fall,97.5,BROWN,0
CAT,Neutered,ILL SEVERE,STRAY,5,Spring,73.1,GRAY TABBY,0
DOG,Female,NORMAL,STRAY,12,Winter,14.2,BLACK,0
DOG,Neutered,NORMAL,STRAY,4,Spring,10.0,GRAY,1
CAT,Male,FRACTIOUS,STRAY,10,Fall,73.1,BLACK,1
DOG,Male,NORMAL,STRAY,8,Summer,12.2,TAN,0
DOG,Male,ILL SEVERE,STRAY,4,Spring,85.2,BLACK,0
CAT,Male,ILL MILD,STRAY,2,Winter,6.1,ORG TABBY,0
CAT,Spayed,NORMAL,OWNER SURRENDER,9,Fall,61.0,CALICO,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,ORG TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.0,GRAY,0
DOG,Spayed,NORMAL,STRAY,4,Spring,60.8,GRAY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,1.7,ORG TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,1.8,GRAY TABBY,0
DOG,Neutered,INJURED  MILD,STRAY,6,Summer,48.7,BLACK,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,0.2,BRN TABBY,0
DOG,Female,ILL SEVERE,STRAY,11,Fall,2.0,BR BRINDLE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.2,ORG TABBY,0
CAT,Neutered,FERAL,STRAY,1,Winter,24.4,GRAY,0
CAT,Spayed,NORMAL,STRAY,8,Summer,2.0,ORG TABBY,1
DOG,Male,NORMAL,STRAY,5,Spring,8.7,RED,0
CAT,Neutered,ILL MILD,STRAY,5,Spring,12.2,BLACK,0
DOG,Male,BEHAVIOR  MODERATE,STRAY,9,Fall,56.7,WHITE,0
DOG,Spayed,NORMAL,STRAY,1,Winter,10.2,TAN,1
DOG,Female,INJURED  SEVERE,STRAY,4,Spring,73.0,BROWN,0
DOG,Male,INJURED  SEVERE,STRAY,10,Fall,60.9,FAWN,0
DOG,Neutered,INJURED  MILD,STRAY,8,Summer,10.1,WHITE,1
DOG,Neutered,NORMAL,CONFISCATE,8,Summer,97.4,BLACK,0
DOG,Female,NORMAL,STRAY,5,Spring,24.3,WHITE,0
DOG,Spayed,NORMAL,WELFARE SEIZED,7,Summer,106.3,GRAY,0
DOG,Female,NORMAL,STRAY,10,Fall,24.3,BLACK,0
CAT,Spayed,NORMAL,STRAY,9,Fall,60.9,BRN TABBY,1
CAT,Female,NORMAL,STRAY,8,Summer,48.7,Other,0
DOG,Neutered,ILL SEVERE,STRAY,3,Spring,24.4,BROWN,1
CAT,Spayed,NORMAL,STRAY,8,Summer,5.1,BLACK,0
CAT,Male,NORMAL,STRAY,3,Spring,0.1,GRAY TABBY,0
CAT,Female,INJURED  MODERATE,STRAY,7,Summer,2.0,GRAY,0
DOG,Male,INJURED  SEVERE,OWNER SURRENDER,11,Fall,12.8,BR BRINDLE,0
DOG,Female,NORMAL,STRAY,9,Fall,48.7,WHITE,0
CAT,Male,NORMAL,STRAY,1,Winter,2.5,BRN TABBY,0
DOG,Male,NORMAL,STRAY,1,Winter,72.8,BLUE,0
DOG,Female,NORMAL,STRAY,7,Summer,24.3,TRICOLOR,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,1.1,BLACK,0
DOG,Spayed,NORMAL,STRAY,7,Summer,10.1,CREAM,1
DOG,Male,ILL SEVERE,STRAY,8,Summer,2.0,BROWN,1
DOG,Female,INJURED  SEVERE,STRAY,4,Spring,24.3,BLUE,0
DOG,Male,NORMAL,STRAY,2,Winter,116.2,BROWN,0
DOG,Neutered,NORMAL,STRAY,2,Winter,11.8,BLUE,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,1.0,BRN TABBY,0
DOG,Neutered,ILL MILD,STRAY,3,Spring,18.2,WHITE,1
DOG,Male,INJURED  MODERATE,STRAY,5,Spring,36.5,BLACK,0
DOG,Neutered,NORMAL,STRAY,6,Summer,97.4,BLACK,0
DOG,Male,INJURED  SEVERE,STRAY,8,Summer,12.2,GRAY,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,9,Fall,0.8,GRAY TABBY,1
DOG,Female,NORMAL,STRAY,7,Summer,73.1,TAN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,1.1,BLACK,0
CAT,Spayed,ILL MILD,STRAY,4,Spring,2.0,Other,0
CAT,Spayed,NORMAL,STRAY,4,Spring,206.9,TORTIE,1
DOG,Female,NORMAL,STRAY,1,Winter,2.0,BROWN,0
DOG,Neutered,NORMAL,STRAY,2,Winter,28.7,WHITE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,11,Fall,1.2,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,7,Summer,0.5,BLACK,0
DOG,Spayed,NORMAL,STRAY,5,Spring,24.3,BROWN,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.5,ORG TABBY,0
DOG,Female,NORMAL,OWNER SURRENDER,8,Summer,24.4,BLACK,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.5,BLACK,0
DOG,Female,NORMAL,OWNER SURRENDER,8,Summer,24.4,TAN,0
DOG,Female,INJURED  SEVERE,STRAY,12,Winter,97.4,BLACK,0
DOG,Male,NORMAL,OWNER SURRENDER,8,Summer,24.4,BLACK,0
CAT,Neutered,ILL MILD,STRAY,11,Fall,2.0,BRN TABBY,1
DOG,Male,NORMAL,OWNER SURRENDER,8,Summer,6.0,BROWN,0
DOG,Female,NORMAL,OWNER SURRENDER,8,Summer,24.4,BLACK,0
CAT,Female,ILL MILD,STRAY,1,Winter,2.0,CALICO,0
DOG,Male,NORMAL,OWNER SURRENDER,8,Summer,24.4,GRAY,0
CAT,Unknown,INJURED  MODERATE,STRAY,9,Fall,7.1,SEAL PT,0
DOG,Male,NORMAL,OWNER SURRENDER,8,Summer,24.4,BLACK,0
DOG,Male,NORMAL,STRAY,12,Winter,36.5,BROWN,0
DOG,Neutered,NORMAL,STRAY,1,Winter,121.7,BLACK,1
DOG,Female,NORMAL,SAFE KEEP,6,Summer,24.4,GRAY,0
DOG,Neutered,INJURED  MILD,STRAY,8,Summer,48.7,TAN,0
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,3,Spring,0.2,BLACK,0
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
CAT,Neutered,NORMAL,OWNER SURRENDER,1,Winter,25.2,BLACK,1
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,8,Summer,0.5,Other,0
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
DOG,Neutered,NORMAL,STRAY,3,Spring,52.2,BLACK,0
DOG,Unknown,NORMAL,SAFE KEEP,6,Summer,0.2,GRAY,0
DOG,Neutered,ILL MILD,STRAY,10,Fall,24.3,Other,1
CAT,Neutered,NORMAL,OWNER SURRENDER,4,Spring,25.2,GRAY,1
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,1.0,WHITE,0
DOG,Spayed,ILL MODERATETE,OWNER SURRENDER,1,Winter,105.3,BLUE,0
DOG,Male,NORMAL,WELFARE SEIZED,7,Summer,24.9,BR BRINDLE,0
CAT,Neutered,INJURED  MODERATE,STRAY,11,Fall,36.5,ORANGE,1
DOG,Neutered,NORMAL,STRAY,9,Fall,24.3,GRAY,0
CAT,Male,INJURED  MILD,STRAY,4,Spring,2.0,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,3,Spring,0.0,WHITE,0
CAT,Neutered,NORMAL,STRAY,5,Spring,13.4,BRN TABBY,0
CAT,Spayed,FRACTIOUS,STRAY,5,Spring,24.3,GRAY TABBY,0
CAT,Unknown,INJURED  SEVERE,STRAY,6,Summer,2.0,WHITE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,12,Winter,1.2,Other,0
CAT,Male,ILL MODERATETE,STRAY,3,Spring,97.4,ORG TABBY,1
CAT,Male,ILL MILD,STRAY,11,Fall,6.1,GRAY TABBY,0
CAT,Male,NORMAL,OWNER SURRENDER,1,Winter,5.1,BLACK,0
DOG,Male,ILL MODERATETE,STRAY,2,Winter,109.6,WHITE,0
CAT,Male,NORMAL,OWNER SURRENDER,1,Winter,5.1,GRAY,0
DOG,Female,NORMAL,STRAY,7,Summer,12.2,TAN,0
CAT,Spayed,NORMAL,STRAY,7,Summer,73.1,BRN TABBY,1
CAT,Unknown,NORMAL,STRAY,6,Summer,2.0,ORG TABBY,0
DOG,Neutered,NORMAL,STRAY,5,Spring,16.4,GRAY,0
DOG,Neutered,NORMAL,STRAY,12,Winter,3.0,BLACK,1
DOG,Male,NORMAL,STRAY,6,Summer,48.7,BROWN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,0.7,BRN TABBY,0
DOG,Female,NORMAL,STRAY,11,Fall,36.5,BROWN,0
DOG,Spayed,NORMAL,STRAY,10,Fall,97.4,BLUE,0
CAT,Neutered,NORMAL,STRAY,9,Fall,36.2,BLACK,0
DOG,Neutered,NORMAL,STRAY,4,Spring,24.4,TAN,1
DOG,Male,UNDER AGE/WEIGHT,STRAY,2,Winter,0.1,BROWN,0
DOG,Male,UNDER AGE/WEIGHT,STRAY,2,Winter,0.1,BLACK,0
CAT,Male,INJURED  MILD,STRAY,6,Summer,2.5,WHITE,1
CAT,Male,NORMAL,STRAY,5,Spring,3.0,GRAY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.7,GRAY TABBY,0
DOG,Spayed,NORMAL,OWNER SURRENDER,7,Summer,60.9,WHITE,1
CAT,Neutered,FRACTIOUS,STRAY,5,Spring,27.0,GRAY,0
CAT,Spayed,NORMAL,STRAY,11,Fall,48.7,BLACK,0
CAT,Neutered,ILL SEVERE,STRAY,12,Winter,109.6,ORG TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,11,Fall,1.4,GRAY TABBY,0
CAT,Unknown,INJURED  SEVERE,STRAY,11,Fall,36.5,Other,0
DOG,Male,BEHAVIOR  MODERATE,OWNER SURRENDER,4,Spring,97.4,BROWN,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,6,Summer,0.9,BLACK,0
DOG,Female,NORMAL,STRAY,7,Summer,85.2,TAN,0
DOG,Spayed,NORMAL,STRAY,12,Winter,12.2,BR BRINDLE,1
DOG,Male,AGED,STRAY,4,Spring,194.7,GRAY,0
DOG,Neutered,NORMAL,OWNER SURRENDER,11,Fall,41.7,TAN,0
CAT,Spayed,NORMAL,STRAY,7,Summer,24.4,GRAY TABBY,0
CAT,Spayed,NORMAL,STRAY,5,Spring,18.2,BLACK,0
DOG,Neutered,NORMAL,STRAY,1,Winter,60.9,BROWN,1
CAT,Female,NORMAL,STRAY,10,Fall,36.5,BRN TABBY,1
CAT,Male,NORMAL,STRAY,10,Fall,1.0,Other,1
DOG,Male,WELFARE SEIZURES,WELFARE SEIZED,2,Winter,36.5,BLACK,0
CAT,Female,INJURED  MILD,STRAY,5,Spring,0.9,CALICO,0
DOG,Neutered,ILL MILD,STRAY,11,Fall,85.2,FAWN,1
DOG,Spayed,NORMAL,STRAY,10,Fall,102.8,WHITE,0
DOG,Neutered,NORMAL,STRAY,6,Summer,97.4,BROWN,0
CAT,Female,NORMAL,STRAY,10,Fall,1.0,GRAY,0
CAT,Neutered,BEHAVIOR  MODERATE,RETURN,5,Spring,25.8,SEAL PT,1
CAT,Female,ILL MILD,STRAY,7,Summer,0.8,BRN TABBY,0
DOG,Neutered,NORMAL,OWNER SURRENDER,3,Spring,11.4,BLACK,1
CAT,Female,ILL SEVERE,STRAY,7,Summer,48.7,BRN TABBY,0
DOG,Neutered,BEHAVIOR  MODERATE,STRAY,7,Summer,24.3,BROWN,0
CAT,Male,ILL MODERATETE,STRAY,10,Fall,1.0,BRN TABBY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,0.4,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,0.7,TORTIE,0
DOG,Spayed,NORMAL,STRAY,10,Fall,8.1,TAN,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.7,ORANGE,0
DOG,Male,NORMAL,STRAY,8,Summer,24.3,BROWN,0
CAT,Spayed,BEHAVIOR  MILD,OWNER SURRENDER,6,Summer,14.5,TORTIE,0
DOG,Female,NORMAL,STRAY,1,Winter,48.7,TAN,0
CAT,Spayed,ILL SEVERE,STRAY,8,Summer,4.1,GRAY TABBY,1
DOG,Spayed,NORMAL,STRAY,6,Summer,51.4,BLACK,1
CAT,Male,NORMAL,STRAY,7,Summer,3.0,Other,0
DOG,Neutered,NORMAL,STRAY,6,Summer,12.2,BLACK,1
CAT,Female,INJURED  MODERATE,STRAY,9,Fall,7.0,GRAY TABBY,0
DOG,Male,NORMAL,STRAY,9,Fall,17.3,BLACK,1
DOG,Female,INJURED  MILD,STRAY,5,Spring,36.5,TRICOLOR,0
DOG,Neutered,WELFARE SEIZURES,WELFARE SEIZED,4,Spring,24.4,TAN,1
DOG,Male,ILL MODERATETE,STRAY,10,Fall,12.2,TAN,0
CAT,Male,NORMAL,STRAY,8,Summer,1.5,Other,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,4,Spring,1.0,BRN TABBY,0
CAT,Male,INJURED  SEVERE,STRAY,7,Summer,3.0,BLACK,0
CAT,Spayed,NORMAL,STRAY,8,Summer,24.3,BLACK,1
CAT,Unknown,INJURED  SEVERE,STRAY,12,Winter,2.0,GRAY TABBY,0
DOG,Male,NORMAL,STRAY,2,Winter,60.9,GRAY,1
DOG,Neutered,NORMAL,STRAY,10,Fall,73.0,BROWN,1
DOG,Female,ILL MODERATETE,OWNER SURRENDER,3,Spring,97.4,WHITE,0
CAT,Female,ILL SEVERE,STRAY,4,Spring,12.2,Other,0
CAT,Female,NORMAL,OWNER SURRENDER,7,Summer,12.2,BROWN,0
DOG,Neutered,NORMAL,STRAY,7,Summer,24.4,BROWN,1
CAT,Male,ILL SEVERE,STRAY,7,Summer,121.8,BRN TABBY,0
DOG,Neutered,NORMAL,STRAY,5,Spring,12.2,BROWN,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.9,GRAY TABBY,0
CAT,Female,ILL MILD,STRAY,1,Winter,60.9,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,8,Summer,0.9,GRAY,0
DOG,Female,I/I REPORT,QUARANTINE,4,Spring,120.6,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,0.2,TAN,0
CAT,Neutered,ILL MODERATETE,STRAY,1,Winter,1.5,GRAY TABBY,0
DOG,Female,NORMAL,STRAY,8,Summer,12.2,BROWN,0
DOG,Neutered,NORMAL,STRAY,10,Fall,127.4,WHITE,0
DOG,Spayed,NORMAL,STRAY,8,Summer,38.9,Other,0
CAT,Spayed,NORMAL,STRAY,1,Winter,12.2,BROWN,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,2.0,Other,0
DOG,Male,NORMAL,STRAY,8,Summer,36.5,BLACK,0
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,6,Summer,2.0,Other,1
DOG,Female,NORMAL,STRAY,1,Winter,24.4,BLACK,0
CAT,Neutered,NORMAL,RETURN,10,Fall,1.3,ORANGE,1
DOG,Spayed,FRACTIOUS,STRAY,8,Summer,4.0,BLACK,1
DOG,Male,I/I REPORT,QUARANTINE,2,Winter,60.3,BROWN,0
DOG,Spayed,NORMAL,STRAY,10,Fall,4.1,WHITE,1
DOG,Neutered,ILL MILD,STRAY,1,Winter,167.9,BLACK,0
CAT,Neutered,INJURED  MODERATE,STRAY,2,Winter,24.4,GRAY,0
CAT,Unknown,ILL SEVERE,STRAY,10,Fall,2.0,GRAY TABBY,0
CAT,Neutered,NORMAL,RETURN,3,Spring,25.6,GRAY,1
DOG,Neutered,NORMAL,OWNER SURRENDER,9,Fall,12.6,BLACK,0
DOG,Male,NORMAL,STRAY,9,Fall,12.2,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,4,Spring,0.2,Other,0
CAT,Spayed,FRACTIOUS,STRAY,2,Winter,24.3,BRN TABBY,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,6,Summer,0.5,CALICO,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,BRN TABBY,0
DOG,Female,ILL MILD,STRAY,4,Spring,4.0,Other,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,CALICO,0
DOG,Spayed,NORMAL,STRAY,2,Winter,5.1,BROWN,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,ORG TABBY,0
DOG,Spayed,NORMAL,STRAY,2,Winter,6.3,RED,1
DOG,Female,ILL MILD,STRAY,6,Summer,97.4,BROWN,0
DOG,Spayed,I/I REPORT,STRAY,4,Spring,12.2,TAN,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,5,Spring,1.0,ORANGE,0
CAT,Spayed,I/I REPORT,STRAY,11,Fall,24.3,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,5,Spring,1.0,ORANGE,0
DOG,Neutered,NORMAL,STRAY,9,Fall,24.4,BR BRINDLE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,4,Spring,1.0,GRAY TABBY,0
DOG,Male,NORMAL,STRAY,6,Summer,36.5,FAWN,0
DOG,Female,NORMAL,STRAY,6,Summer,97.4,WHITE,0
DOG,Spayed,NORMAL,STRAY,6,Summer,24.4,BLUE,0
CAT,Male,INJURED  SEVERE,STRAY,4,Spring,36.5,BRN TABBY,0
CAT,Spayed,INJURED  MILD,STRAY,8,Summer,12.2,GRAY,1
DOG,Neutered,NORMAL,STRAY,6,Summer,31.3,BLUE,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,4,Spring,1.0,CALICO,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,BLACK,0
CAT,Unknown,NORMAL,STRAY,12,Winter,2.0,WHITE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.2,BRN TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.7,SEAL PT,0
CAT,Male,INJURED  SEVERE,STRAY,7,Summer,73.1,ORG TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,9,Fall,0.7,BLACK,0
DOG,Neutered,NORMAL,WELFARE SEIZED,3,Spring,13.1,BLACK,0
DOG,Male,NORMAL,STRAY,9,Fall,12.2,Other,1
CAT,Neutered,UNDER AGE/WEIGHT,STRAY,8,Summer,1.0,GRAY TABBY,0
CAT,Neutered,ILL MODERATETE,STRAY,7,Summer,3.0,BLACK,1
DOG,Male,NORMAL,STRAY,7,Summer,121.7,BROWN,0
CAT,Neutered,NORMAL,STRAY,5,Spring,24.3,WHITE,0
CAT,Unknown,ILL MODERATETE,STRAY,11,Fall,0.5,GRAY,1
CAT,Neutered,NORMAL,STRAY,11,Fall,4.6,BLACK,0
DOG,Neutered,NORMAL,STRAY,7,Summer,61.4,BROWN,0
DOG,Female,NORMAL,OWNER SURRENDER,1,Winter,2.4,TAN,0
DOG,Male,NORMAL,STRAY,7,Summer,83.5,WHITE,0
DOG,Male,NORMAL,STRAY,8,Summer,24.3,TRICOLOR,0
DOG,Spayed,ILL SEVERE,STRAY,9,Fall,73.1,BLACK,0
CAT,Female,UNDER AGE/WEIGHT,STRAY,10,Fall,1.0,Other,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.0,CREAM,0
DOG,Male,NORMAL,STRAY,6,Summer,60.9,GRAY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.0,WHITE,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.0,BLACK,0
DOG,Female,UNDER AGE/WEIGHT,WELFARE SEIZED,10,Fall,2.6,Other,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.0,CALICO,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,10,Fall,0.0,TORTIE,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,10,Fall,0.6,BLACK,0
DOG,Female,NORMAL,STRAY,12,Winter,36.5,GRAY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.3,ORANGE,0
